1,15
-1,0
-1,0
1,15
-1,7
1,15
1,15
-1,0
-1,0
1,15
1,15
1,15
-1,9
-1,0
-1,0
1,15
1,15
1,15
-1,13
-1,0
-1,0
1,15
1,15
1,15
1,15
-1,0
-1,0
1,15
-1,7
1,15
1,15
-1,0
-1,0
1,15
1,15
1,15
-1,9
-1,0
-1,0
1,15
1,15
1,15
-1,13
-1,0
-1,0
1,15
1,15
1,15
1,15
-1,0
-1,0
1,15
1,15
1,15
1,15
-1,0
-1,0
1,15
-1,13
1,15
-1,0
-1,0
1,15
1,15
1,15
1,15
-1,0
-1,0
1,15
-1,13
-1,11
1,15
-1,0
-1,0
-1,10
-1,11
-1,13
1,15
-1,0
-1,0
1,15
-1,13
1,15
1,15
1,15
1,15
1,15
-1,1
-1,0
1,15
1,15
-1,13
1,15
-1,0
-1,0
1,15
1,15
-1,0
1,15
-1,0
1,15
-1,11
-1,13
-1,0
1,15
-1,0
1,15
1,15
1,15
1,15
-1,0
-1,0
1,15
1,15
-1,11
-1,13
-1,0
-1,1
1,15
1,15
-1,7
1,15
-1,13
-1,0
1,15
-1,0
1,15
1,15
1,15
-1,0
1,15
-1,0
-1,1
1,15
-1,0
1,15
1,15
-1,13
-1,0
1,15
-1,1
1,15
1,15
-1,11
-1,1
1,15
-1,0
1,15
1,15
-1,13
-1,0
1,15
-1,1
1,15
1,15
-1,11
-1,0
1,15
-1,0
1,15
1,15
1,15
-1,0
1,15
-1,0
1,15
1,15
1,15
